file_idx,true_label,pred_prob,pred_label,correct
0,1,0.9996122121810913,1,True
1,1,0.9996107816696167,1,True
2,1,0.9995729327201843,1,True
3,1,0.9996208548545837,1,True
4,1,0.99958735704422,1,True
5,1,0.999651312828064,1,True
6,1,0.999635636806488,1,True
7,1,0.9995616674423218,1,True
8,1,0.9996431469917297,1,True
9,1,0.999499499797821,1,True
10,1,0.9996010661125183,1,True
11,1,0.9995962977409363,1,True
12,1,0.9995641112327576,1,True
13,1,0.9996344447135925,1,True
14,1,0.9995182752609253,1,True
15,0,0.0014285477809607983,0,True
16,0,0.0006704944535158575,0,True
17,0,0.0006263121031224728,0,True
18,0,0.0007765635964460671,0,True
19,0,0.0018631578423082829,0,True
20,0,0.000640104350168258,0,True
21,0,0.001764306565746665,0,True
22,0,0.0008329724078066647,0,True
23,0,0.0007194362697191536,0,True
24,0,0.003368024481460452,0,True
25,0,0.009625188075006008,0,True
26,0,0.0006309847813099623,0,True
27,0,0.0007380313472822309,0,True
28,0,0.0006424893508665264,0,True
29,0,0.001008186605758965,0,True
