file_idx,true_label,pred_prob,pred_label,correct
0,1,0.9998345971107483,1,True
1,1,0.9998144507408142,1,True
2,1,0.9998019337654114,1,True
3,1,0.9998251795768738,1,True
4,1,0.9998086094856262,1,True
5,1,0.9998449087142944,1,True
6,1,0.999839723110199,1,True
7,1,0.9998013377189636,1,True
8,1,0.9998481273651123,1,True
9,1,0.9997565150260925,1,True
10,1,0.999824047088623,1,True
11,1,0.9997969269752502,1,True
12,1,0.9997718334197998,1,True
13,1,0.9998449087142944,1,True
14,1,0.9997767210006714,1,True
15,0,0.03463687747716904,0,True
16,0,0.00608031265437603,0,True
17,0,0.0036762694362550974,0,True
18,0,0.007763336878269911,0,True
19,0,0.013089563697576523,0,True
20,0,0.006642872467637062,0,True
21,0,0.021767010912299156,0,True
22,0,0.00825206283479929,0,True
23,0,0.005589273292571306,0,True
24,0,0.023114381358027458,0,True
25,0,0.016869796440005302,0,True
26,0,0.006345690693706274,0,True
27,0,0.009163273498415947,0,True
28,0,0.0035878897178918123,0,True
29,0,0.005416953470557928,0,True
