file_idx,true_label,pred_prob,pred_label,correct
0,1,0.9999387264251709,1,True
1,1,0.9999393224716187,1,True
2,1,0.9999052286148071,1,True
3,1,0.9999300241470337,1,True
4,1,0.9998998045921326,1,True
5,1,0.9999449253082275,1,True
6,1,0.9999392032623291,1,True
7,1,0.9999275803565979,1,True
8,1,0.9999454617500305,1,True
9,1,0.999864935874939,1,True
10,1,0.9999402761459351,1,True
11,1,0.9999375939369202,1,True
12,1,0.9999326467514038,1,True
13,1,0.9999436736106873,1,True
14,1,0.9999070763587952,1,True
15,0,0.02076025679707527,0,True
16,0,0.0001979005610337481,0,True
17,0,0.00017292382835876197,0,True
18,0,0.0005584692116826773,0,True
19,0,0.004693666007369757,0,True
20,0,0.00016119507199618965,0,True
21,0,0.003320861142128706,0,True
22,0,0.00017495281645096838,0,True
23,0,0.00016664441500324756,0,True
24,0,0.006474976893514395,0,True
25,0,0.003990763798356056,0,True
26,0,0.00015860112034715712,0,True
27,0,0.00036819055094383657,0,True
28,0,0.005910284351557493,0,True
29,0,0.006599758751690388,0,True
